source         target          sign
dm             CG8963          +
dm             RpS8            +
dm             eIF-4a          +
dm             Act5C           -
dm             Gnf1            +
dm             pAbp            +
dm             Hsp83           +
dm             Mi-2            +
dm             Syp             -
dm             RpS9            +
dm             RpL30           +
dm             betaTub60D      +
dm             RfC4            +
B4             eIF3-S10        -
B4             Hsc70-3         +
B4             sqd             -
B4             RpL18A          -
B4             CG4849          +
B4             RpL13           -
B4             RpL6            -
B4             RpL4            -
B4             Hrb27C          -
B4             hyd             -
B4             RpL8            -
B4             RpL5            -
B4             14-3-3epsilon   -
B4             RpLP0           -
B4             Act5C           -
B4             Spx             +
B4             RpL18           -
B4             pAbp            -
B4             Caf1            -
B4             Mi-2            -
B4             RpL7            -
B4             RpL30           -
B4             Hsc70-2         -
B4             RpL10Ab         -
B4             RpL3            -
Akt1           Hel25E          +
Akt1           Rpd3            +
Akt1           RpS8            +
Akt1           glo             -
Akt1           alphaCOP        +
Akt1           RpL14           +
Akt1           Hsp83           +
Akt1           Hsc70-3         +
Akt1           TER94           +
Akt1           RpS3            +
Akt1           Caf1            -
Akt1           Hrb27C          -
Akt1           RpS4            +
Akt1           RpS3A           +
Akt1           hyd             -
Akt1           RpS11           +
Akt1           skap            +
chico          CG3605          +
chico          Hsc70-3         +
chico          Hsc70-4         +
chico          tws             -
chico          RpS3            +
chico          Hrb27C          -
chico          RpS4            +
chico          hyd             -
chico          betaTub56D      +
chico          Capr            +
chico          RpL14           +
chico          Act5C           -
chico          Mi-2            +
chico          Gnf1            +
chico          Hsp83           +
chico          eIF4AIII        -
chico          CG32479         +
chico          Hel25E          +
chico          Hrb98DE         -
chico          TfIIFbeta       +
chico          RpL7A           +
chico          T-cp1           +
